nite,date,dlon,dlat,vlon,vlat
20140820,41870.75726189727,0.935413074923265,-0.13740881750100162,-0.4756236515329277,-0.27024308838704414
20140824,41874.76379805267,0.9004378237447104,-0.15569325792260577,-0.5389129838896102,-0.260138654154734
20140828,41878.73681497138,0.8615327127129991,-0.17309494646736337,-0.5991467796461016,-0.24889887395376445
20140902,41883.72188882782,0.8070507158689193,-0.19377677909660748,-0.6707343890470939,-0.23315889395632305
20140914,41895.68906313957,0.6529054180108432,-0.23734523856671869,-0.8215412307163892,-0.18862594645938485
20140922,41903.786943080115,0.5325093989441186,-0.261236990786735,-0.9042395803497472,-0.15384324682183043
20140923,41904.66512325431,0.5187892046699693,-0.2635311376516363,-0.9121804863911604,-0.149879449678819
20140930,41911.64611799204,0.40577416140590017,-0.27958869903104033,-0.9677617519670075,-0.11722913171273448
20141003,41914.851870079605,0.3518164291252923,-0.2856250964727781,-0.9886559962051723,-0.1016406130093061
20141005,41916.84628656,0.31769704232422696,-0.28894343750916596,-1.0001420238812846,-0.09178344005526283
20141012,41923.6159345317,0.1993395074239275,-0.29765070236367425,-1.0302811458116174,-0.05758966339893574
20141018,41929.59760925539,0.09245875663804565,-0.3019917261367261,-1.045307063477455,-0.026711557291778595
20141025,41936.57900715018,-0.03344167242683295,-0.3030167779041861,-1.048855153574701,0.009661379640429507
20141029,41940.69689563395,-0.10759284017805887,-0.30157305156924186,-1.0438578731692032,0.031083830446177477
20141111,41953.53417295531,-0.33362465124034846,-0.2874412088531644,-0.9949422449165928,0.09638496460041289
20141118,41960.55090394999,-0.4509980878628512,-0.27374417017405017,-0.9475316371388162,0.13029443289608345
20141124,41966.66768336731,-0.5480206801620874,-0.2585456725057933,-0.894923914503125,0.15832449329310483
20141125,41967.5558855422,-0.5616296929407163,-0.25609655464029063,-0.8864465954823393,0.1622561698345057
20141128,41970.556205110915,-0.6066126856205302,-0.24738491036790283,-0.8562923147378827,0.17525186466984025
20141209,41981.53574242015,-0.7565944153040184,-0.2100819893798889,-0.7271728607186081,0.2185819473016461
20141213,41985.533499134064,-0.8047742419941032,-0.19456540003260633,-0.6734641030208885,0.232501215175627
20141220,41992.53895118334,-0.8798996713320382,-0.16520369414607752,-0.5718321843204391,0.2542051324983046
20141222,41994.54084635258,-0.8990661947138828,-0.1563534528740519,-0.5411981671787257,0.25974238722694637
20141226,41998.58399460434,-0.9345029351373243,-0.1379247268440433,-0.47740940800809456,0.2699801468126636
20150102,42005.58481235011,-0.9850895474445561,-0.10449087726845531,-0.36168226684535315,0.28459474084329095
20150107,42010.60395905868,-1.0126089646724912,-0.07956026260333272,-0.2753880231597212,0.2925451667050407
20150114,42017.58717498325,-1.038313422581612,-0.04392904790749239,-0.15205497401194173,0.2999712464519434
20150121,42024.55761981485,-1.0490468705437723,-0.007731268266740008,-0.026760830279182975,0.3030721653979115
20150128,42031.54937992435,-1.0446793079734298,0.02868820116621076,0.09930066529016521,0.3018103660609396
