nite,date,dlon,dlat,vlon,vlat
20140820,41870.89923885685,1.4048329490571243,-0.19685799758668968,-0.3944422152375759,-0.7011232332944372
20140824,41874.80987552897,1.3751408016033164,-0.24354260852852147,-0.48798365923855647,-0.6863044931444134
20140903,41884.78071972022,1.2716736793920687,-0.35710740543215913,-0.7155321998760793,-0.6346661803378202
20140911,41892.85597279685,1.1603477294920965,-0.4415466694580737,-0.8847222290530512,-0.5791056882552351
20140919,41900.79013011288,1.0291808233557487,-0.516234196401068,-1.0343728093655817,-0.5136429829611521
20140926,41907.72029622079,0.8988567747350715,-0.5736584912790181,-1.1494332405280996,-0.44860093051906125
20141002,41913.734764054505,0.7753400668701154,-0.6169211419755033,-1.2361181402373755,-0.38695628184941994
20141004,41915.85922662384,0.7296581541639459,-0.6306474950507455,-1.2636214836651545,-0.3641573787050138
20141012,41923.6768428608,0.5536506572144563,-0.6737777952188833,-1.350041194069301,-0.27631565672083713
20141018,41929.83557490326,0.4077861046106462,-0.699219151783688,-1.4010177617733968,-0.20351765834439722
20141025,41936.85021332818,0.2361747243955401,-0.7186331017158678,-1.4399172807750986,-0.11786994781248573
20141030,41941.85544510227,0.11147520201713385,-0.7261071604085837,-1.4548929703773066,-0.05563498074476422
20141101,41943.74062961829,0.06424387657098579,-0.7275292684774105,-1.4577424327504482,-0.03206279756682069
20141111,41953.66723871969,-0.18440483260634002,-0.722396600948676,-1.4474581629979812,0.0920326595121875
20141118,41960.80205988949,-0.36022443532360354,-0.7056952548375371,-1.413993858584207,0.1797806073492642
20141125,41967.802160946434,-0.5274730891126023,-0.678988796541014,-1.3604824203862658,0.2632509708450712
20141129,41971.636366012266,-0.6159937577541779,-0.6601619253451874,-1.3227592246232684,0.3074298160615236
20141130,41972.62126731337,-0.6383149874278939,-0.6548588315753474,-1.3121334736767412,0.31856988273667325
20141209,41981.78654228536,-0.8364158475601021,-0.5967180398800226,-1.1956374056830017,0.41743794791661026
20141212,41984.536290087904,-0.8920146691359337,-0.576312526226297,-1.154751101304681,0.4451861763282308
20141219,41991.58383892874,-1.0251185973760406,-0.5182435022041452,-1.0383988334122118,0.511615609517799
20141225,41997.736570376146,-1.1290813129148856,-0.4612951184923071,-0.9242919802445877,0.5635012627618995
20150102,42005.57052961254,-1.2430261098952267,-0.3814045774644644,-0.764216177555018,0.6203687675634875
20150109,42012.64342926195,-1.326589101408633,-0.30329153380413026,-0.6077019268867743,0.6620733380841015
20150116,42019.61122075577,-1.389736570517611,-0.2219487329888264,-0.444716247155433,0.6935889412351826
20150121,42024.66797192693,-1.4231177187790043,-0.16085248434234029,-0.3222983624148684,0.7102487858208446
20150128,42031.6432013377,-1.4514649279910126,-0.0746784261734433,-0.14963234520018504,0.7243962949541808
