nite,date,dlon,dlat,vlon,vlat
20140820,41870.770668979225,0.9537361501124594,-0.13018054950888225,-0.4427853578444227,-0.28040199141307187
20140828,41878.75072449066,0.884171935671171,-0.16732700457927033,-0.5691322388726927,-0.25994985246654756
20140902,41883.735454522466,0.8321812594658323,-0.18897508808331595,-0.6427642402519061,-0.24466439941837465
20140903,41884.73303412776,0.8210291242992103,-0.1931456183344438,-0.6569495370309817,-0.24138563001358712
20140911,41892.703288930345,0.723535061428491,-0.22432476050611805,-0.7629996933396623,-0.21272201127933085
20140914,41895.702588775326,0.6832232654159397,-0.23499663394816436,-0.7992981213209059,-0.20087019264162473
20140915,41896.692361818314,0.6695158863354882,-0.23838246360407886,-0.8108144023740295,-0.19684017197945392
20140919,41900.68149748496,0.612344424154351,-0.25131831171673225,-0.8548133266157152,-0.18003154849831846
20140923,41904.6921562257,0.5519592826769797,-0.2631312853762017,-0.8949929985309735,-0.1622780912973741
20140924,41905.67739117315,0.5367122773700163,-0.2658436746203812,-0.9042186950472987,-0.15779541477236864
20140930,41911.67321240001,0.4407633957195831,-0.28067721462550493,-0.9546722715919277,-0.1295860850898708
20141001,41912.650469907654,0.4246529669414147,-0.2828159117105864,-0.961946659030844,-0.12484955883847075
20141005,41916.655717170106,0.3574209348680661,-0.29074008393814776,-0.9888992832795394,-0.10508309022145172
20141012,41923.6910887766,0.23541866636586634,-0.3012999816901759,-1.0248168464068426,-0.06921396746575531
20141018,41929.62450285089,0.1297746725986871,-0.3067841363822452,-1.0434701967496018,-0.038154238598757606
20141025,41936.71579325115,0.0018377864554043292,-0.30914714994219217,-1.0515075556997644,-0.0005403160840936783
20141029,41940.74589307316,-0.07100535455890533,-0.3084419744181412,-1.0491090299757757,0.020875839525387196
20141030,41941.670504570946,-0.0876820445599516,-0.3080709386147437,-1.0478470194711325,0.02577884869193756
20141031,41942.77794484567,-0.10762675347992717,-0.3075239727957541,-1.0459866151572497,0.031642667630389
20141104,41946.651980432165,-0.1770425314946238,-0.30473419303842053,-1.0364976889480864,0.05205116571291795
20141111,41953.547688949955,-0.2984605037043334,-0.29643288017574865,-1.0082622897249032,0.08774850317561672
20141118,41960.577987878925,-0.4179188634834786,-0.28368166542113915,-0.9648913621218851,0.12286970726236736
20141124,41966.72218544989,-0.5173794707503877,-0.2691362937596616,-0.9154179375557363,0.15211149739636431
20141125,41967.58292832831,-0.5308764951407072,-0.2668546194785151,-0.9076572393033991,0.15607967299372436
20141128,41970.58357297985,-0.5769995895205079,-0.25844634019970714,-0.8790580133562941,0.16964003506315437
20141209,41981.54927423217,-0.7316024658509157,-0.2220515353959634,-0.7552677333989642,0.21509385832037653
20141213,41985.58436524078,-0.7822233863833745,-0.20659868487712246,-0.7027076852772246,0.2299765980831407
20141220,41992.59499378052,-0.8610816873636218,-0.1774306688978122,-0.6034980073204609,0.2531612331960127
20141226,41998.59754607313,-0.9186998736700684,-0.15039147778152362,-0.5115291382427292,0.2701011952390075
20141227,41999.598388691666,-0.9273700874222621,-0.1457191897749344,-0.49563720411927814,0.27265027047517787
20150102,42005.598332368296,-0.9734998072098192,-0.11685294629217378,-0.39745395018189705,0.2862125804392416
20150103,42006.603716951664,-0.9802277440678948,-0.11188574248921047,-0.3805589138521325,0.28819061901194676
20150106,42009.54492921104,-0.9982195888235527,-0.09716775426043919,-0.3304983655658323,0.293480288589939
20150109,42012.541756041195,-1.0139236908295104,-0.08191593399865438,-0.27862208513937403,0.2980973532522204
20150110,42013.552081190355,-1.0186126994140703,-0.07672296945725483,-0.26095916489966414,0.2994759392948157
20150113,42016.54025192425,-1.0306754249244394,-0.06123448215112284,-0.2082779047560624,0.3030224256627466
20150115,42018.61666163713,-1.0374558407630499,-0.050374171185828785,-0.17133854096315312,0.3050158932517973
20150116,42019.53959591231,-1.0400452224904133,-0.045525462594292083,-0.1548465444484171,0.3057771811539028
20150117,42020.559456929106,-1.0426016256327422,-0.0401542456248448,-0.13657733113775675,0.30652877322879596
20150119,42022.56307398088,-1.0466888205894647,-0.029567524696156377,-0.10056853387508655,0.3077304238163545
20150121,42024.57501694294,-1.049541956312315,-0.01890148874661946,-0.06428996105822389,0.30856925637855176
20150122,42025.558074259825,-1.050479025419664,-0.013680920766237574,-0.046533152763396333,0.30884475819712226
20150126,42029.55465204714,-1.0511940699931879,0.007567637686477573,0.025739937138729643,0.30905498397323605
20150128,42031.5629260486,-1.0496778002347846,0.01823779100500866,0.062032514434067314,0.3086091949992881
20150129,42032.54711747656,-1.048477197016269,0.02345973790395542,0.07979401286849319,0.30825621316743756
