nite,date,dlon,dlat,vlon,vlat
20140820,41870.71654966417,0.4297489630860187,-0.6305243408455479,-1.2692842488146738,-0.21348029957191494
20140824,41874.714205347336,0.34151563547729274,-0.6437031154185875,-1.2958139319698179,-0.16964988035489992
20140828,41878.619566575784,0.2537572854863474,-0.6536396687449764,-1.315816824495393,-0.1260554090350144
20140902,41883.60549901913,0.14010701570762743,-0.662035320259038,-1.3327177869721862,-0.06959897580812659
20140911,41892.581482409376,-0.06652272768398694,-0.6648629739859195,-1.3384100277060171,0.033045552297181265
20140915,41896.57009232808,-0.15812591202796028,-0.6610330440415245,-1.330700143348555,0.07854996746799472
20140919,41900.56026042011,-0.2490202749159842,-0.6540890847134367,-1.3167215264600587,0.12370227145354208
20140923,41904.640202981725,-0.34074373328752106,-0.6438040518759409,-1.2960171232618118,0.16926643344782802
20140929,41910.61277272094,-0.4718667382232448,-0.6230491372649289,-1.254236204596684,0.23440254959674603
20141003,41914.82374563715,-0.5614038110764754,-0.6044504835265548,-1.2167959715874097,0.2788806118548604
20141012,41923.503531841125,-0.7361639707525532,-0.5562399411988197,-1.1197451869637007,0.36569373869285876
20141018,41929.51293159175,-0.8477810280413145,-0.5155344283772615,-1.037802487979168,0.42114016177723723
20141022,41933.529592380095,-0.9174081448568419,-0.48522873047335846,-0.9767952555745072,0.45572783745042394
20141026,41937.50433378764,-0.9819999048856594,-0.45295928949189584,-0.9118348876672221,0.487814170322085
20141030,41941.50770937388,-1.0424175189747267,-0.4183180726222004,-0.8420999891325939,0.5178269718947389
20141111,41953.61241961658,-1.1939836304559046,-0.3022340829403557,-0.6084157836265236,0.5931183202475113
20141118,41960.522684137555,-1.2577107708852808,-0.22976247903427374,-0.46252599101206393,0.6247751482990118
20141124,41966.63912518347,-1.2993308272562536,-0.1628768918066132,-0.3278811932760386,0.645450153628802
20141125,41967.52687654317,-1.3041862694916972,-0.15300147877369547,-0.3080013799187743,0.6478621228294563
20141128,41970.5279775135,-1.3183423196933812,-0.11936640707403745,-0.24029191344698586,0.6548942231889531
20141129,41971.593374108794,-1.3225245258261065,-0.10734473122545671,-0.21609154113701803,0.6569717584357502
20141130,41972.53145303764,-1.3258392432035935,-0.09672969473079633,-0.1947228202955719,0.6586183635925392
20141210,41982.53546232939,-1.33959999152878,0.0174822642063041,0.03519287227027763,0.6654540954432906
20141219,41991.5413041322,-1.3181265756522067,0.11995290926658159,0.24147257840576167,0.6547870510803573
20141224,41996.60333573011,-1.2921320555592555,0.17644374279644834,0.35519209810854807,0.6418741218743812
20150102,42005.5422178588,-1.2224840922544493,0.2726729405465171,0.5489073872224293,0.6072760905862693
20150107,42010.54259647707,-1.170807094738327,0.3238365731776152,0.651902924117493,0.5816052411873592
20150114,42017.559128514964,-1.0837958155654073,0.39150955571899165,0.7881327970116792,0.5383818816460534
20150121,42024.54309615904,-0.9815258502762336,0.4532127674745892,0.9123451544246046,0.4875786809347299
20150128,42031.534876816135,-0.864968608998762,0.5084401965131887,1.023521363240302,0.4296781926903636
