fakeid,date_obs,mjd_obs,expnum,exptime,ra,dec,band,ccdnum
242,2013-09-01T04:36:43.695010,56536.19217240,229368,175.00000000,0.6323005528722542,-0.10775294475772582,g,23
242,2013-09-01T04:40:10.355714,56536.19456430,229369,150.00000000,0.6323002169297431,-0.10775341323285485,r,23
242,2013-09-01T04:44:57.490305,56536.19788762,229370,200.00000000,0.6322997501139721,-0.10775406413958084,i,23
242,2013-09-01T04:48:45.715859,56536.20052912,229371,200.00000000,0.6322993790237365,-0.10775458151087039,z,23
242,2013-09-01T04:52:35.850080,56536.20319271,229372,200.00000000,0.6322990047877105,-0.10775510321410936,z,23
242,2013-09-12T04:46:24.300913,56547.19889237,233144,175.00000000,0.6304045537567444,-0.10993934880788762,g,29
242,2013-09-12T04:49:49.428194,56547.20126653,233145,150.00000000,0.630404072445923,-0.10993982406284064,r,29
242,2013-09-12T04:52:48.961895,56547.20334447,233146,200.00000000,0.6304036511635688,-0.10994024002081854,i,29
242,2013-09-12T04:56:39.158147,56547.20600877,233147,200.00000000,0.6304031109664698,-0.10994077335815335,z,29
242,2013-09-12T05:00:28.444160,56547.20866255,233148,200.00000000,0.6304025728683031,-0.10994130458692955,z,29
242,2013-09-16T06:36:12.324039,56551.27514264,234891,175.00000000,0.6295354197560203,-0.11075508056653909,g,29
242,2013-09-16T06:39:39.458783,56551.27754003,234892,150.00000000,0.6295348839430633,-0.11075555979668958,r,29
242,2013-09-16T06:42:39.534069,56551.27962424,234893,200.00000000,0.6295344181040629,-0.11075597642078655,i,29
242,2013-09-16T06:46:28.639034,56551.28227591,234894,200.00000000,0.6295338253986085,-0.11075650647929852,z,29
242,2013-09-16T06:50:17.743586,56551.28492759,234895,200.00000000,0.6295332326595434,-0.11075703653554024,z,29
242,2013-09-20T03:38:47.110604,56555.15193415,236500,90.00000000,0.6286326827557326,-0.11152809145710248,Y,29
242,2013-09-20T03:40:47.177919,56555.15332382,236501,90.00000000,0.6286323464152154,-0.11152836765622923,Y,29
242,2013-09-20T03:42:48.029905,56555.15472257,236502,90.00000000,0.6286320078675939,-0.11152864565960417,Y,29
242,2013-09-20T03:44:47.695931,56555.15610759,236503,90.00000000,0.6286316726333284,-0.111528920934059,Y,29
242,2013-09-20T03:46:47.506922,56555.15749429,236504,90.00000000,0.6286313369840569,-0.11152919654121135,Y,29
242,2013-09-20T03:48:45.905982,56555.15886465,236505,90.00000000,0.6286310052815492,-0.1115294688996655,Y,29
242,2013-09-20T03:50:45.348700,56555.16024709,236506,90.00000000,0.6286306706463609,-0.11152974365812009,Y,29
242,2013-09-20T03:52:45.592294,56555.16163880,236507,90.00000000,0.6286303337584711,-0.11153002025807882,Y,29
242,2013-09-20T03:54:46.463700,56555.16303777,236508,90.00000000,0.6286299951025968,-0.11153029830142139,Y,29
242,2013-09-20T03:56:45.083309,56555.16441069,236509,90.00000000,0.6286296627469717,-0.111530571164133,Y,29
242,2013-09-23T07:25:00.534471,56558.30903396,237785,175.00000000,0.6278459246488157,-0.11215325940721145,g,36
242,2013-09-23T07:28:24.782519,56558.31139795,237786,150.00000000,0.6278453188770878,-0.11215372556233365,r,36
242,2013-09-23T07:31:23.285344,56558.31346395,237787,200.00000000,0.6278447894421422,-0.11215413295647696,i,36
242,2013-09-23T07:35:10.926079,56558.31609868,237788,200.00000000,0.6278441142382892,-0.11215465249365171,z,36
242,2013-09-23T07:38:59.297307,56558.31874187,237789,200.00000000,0.6278434368372114,-0.11215517369391916,z,36
242,2013-09-28T03:42:56.554650,56563.15482123,238967,175.00000000,0.6265545045758864,-0.11310078557100035,g,36
242,2013-09-28T03:46:19.379966,56563.15716875,238968,150.00000000,0.626553855694744,-0.11310124014761108,r,36
242,2013-09-28T03:49:19.917965,56563.15925831,238969,200.00000000,0.6265532780972036,-0.11310164476930555,i,36
242,2013-09-28T03:53:12.187735,56563.16194662,238970,200.00000000,0.6265525349682721,-0.11310216532656943,z,36
242,2013-09-28T03:57:01.663342,56563.16460259,238971,200.00000000,0.6265518007511167,-0.11310267961537017,z,36
242,2013-10-02T03:26:59.562952,56567.14374494,240503,175.00000000,0.6254216857463974,-0.11386554091520858,g,36
242,2013-10-02T03:30:24.178838,56567.14611318,240504,150.00000000,0.6254209958647408,-0.11386599000103052,r,36
242,2013-10-02T03:33:22.813548,56567.14818071,240505,200.00000000,0.6254203935648909,-0.11386638205882733,i,36
242,2013-10-02T03:37:12.413100,56567.15083811,240506,200.00000000,0.625419619405568,-0.11386688596439226,z,36
242,2013-10-02T03:41:03.268151,56567.15351005,240507,200.00000000,0.6254188409878876,-0.11386739261735787,z,36
242,2013-10-10T02:56:33.394688,56575.12260873,242447,175.00000000,0.6229949834557899,-0.11533718808708532,g,42
242,2013-10-10T02:59:58.103854,56575.12497805,242448,150.00000000,0.6229942354338319,-0.11533761123822361,r,42
