expnum,date,ra,dec,exptime,band,tag,object
369800,2014/10/21 03:42:00,22:27:35.57,-45:02:12.9,90.0,g,None,DES survey hex -231-450 tiling 1
369801,2014/10/21 03:44:16,21:51:25.91,-45:02:13.7,90.0,g,None,DES survey hex -321-450 tiling 1
369802,2014/10/21 03:46:16,21:59:57.81,-45:16:26.0,90.0,r,None,DES survey hex -301-461 tiling 4
369803,2014/10/21 03:48:15,21:59:41.45,-46:03:05.9,90.0,g,None,DES survey hex -301-461 tiling 1
369804,2014/10/21 03:50:14,21:59:57.81,-45:16:25.6,90.0,i,None,DES survey hex -301-461 tiling 4
369805,2014/10/21 03:52:23,21:35:49.53,-43:32:56.8,90.0,g,None,DES survey hex -350-440 tiling 2
369806,2014/10/21 03:54:22,21:40:19.18,-43:14:41.2,90.0,r,None,DES survey hex -350-440 tiling 4
369807,2014/10/21 03:56:21,21:43:42.46,-43:14:41.0,90.0,r,None,DES survey hex -341-440 tiling 4
369808,2014/10/21 03:58:18,21:41:17.88,-41:31:12.9,90.0,g,None,DES survey hex -337-420 tiling 2
369809,2014/10/21 04:00:17,21:41:17.87,-41:31:12.9,90.0,i,None,DES survey hex -337-420 tiling 2
369810,2014/10/21 04:02:23,21:41:16.78,-46:03:06.0,90.0,r,None,DES survey hex -347-461 tiling 1
369811,2014/10/21 04:04:22,21:47:36.26,-48:19:02.1,90.0,g,None,DES survey hex -332-491 tiling 4
369812,2014/10/21 04:06:21,21:47:36.24,-48:19:02.0,90.0,r,None,DES survey hex -332-491 tiling 4
369813,2014/10/21 04:08:26,21:54:41.39,-48:54:33.1,90.0,i,None,DES survey hex -305-481 tiling 3
369814,2014/10/21 04:10:29,22:06:49.79,-49:05:42.3,90.0,r,None,DES survey hex -283-491 tiling 1
369815,2014/10/21 04:12:28,22:13:48.94,-48:54:32.6,90.0,g,None,DES survey hex -257-481 tiling 3
369816,2014/10/21 04:14:36,21:58:16.62,-47:18:10.4,90.0,r,None,DES survey hex -305-481 tiling 4
369817,2014/10/21 04:16:34,22:05:00.32,-47:53:40.8,90.0,g,None,DES survey hex -279-471 tiling 3
369818,2014/10/21 04:18:33,22:05:00.30,-47:53:40.5,90.0,i,None,DES survey hex -279-471 tiling 3
369819,2014/10/21 04:20:36,22:17:24.20,-47:18:10.1,90.0,r,None,DES survey hex -257-481 tiling 4
369820,2014/10/21 04:22:36,22:08:31.38,-46:17:17.8,90.0,r,None,DES survey hex -279-471 tiling 4
369821,2014/10/21 04:24:35,22:14:55.51,-46:52:48.5,90.0,g,None,DES survey hex -255-461 tiling 3
369822,2014/10/21 04:26:38,22:26:20.66,-49:05:42.2,90.0,r,None,DES survey hex -234-491 tiling 1
369823,2014/10/21 04:28:50,22:29:21.67,-55:43:22.8,90.0,i,None,DES survey hex -213-562 tiling 2
369824,2014/10/21 04:30:54,22:27:40.05,-59:46:51.3,90.0,g,None,DES survey hex -216-603 tiling 2
369825,2014/10/21 04:32:53,22:33:45.63,-60:15:15.7,90.0,r,None,DES survey hex -216-603 tiling 1
369829,2014/10/21 04:47:30,23:42:32.15,-1:24:52.3,90.0,g,None,DES survey hex -44-14 tiling 1
369830,2014/10/21 04:49:30,23:49:02.54,-1:39:04.5,90.0,r,None,DES survey hex -28-24 tiling 4
369831,2014/10/21 04:51:36,23:55:29.07,1:23:32.0,90.0,r,None,DES survey hex -12+6 tiling 4
369832,2014/10/21 04:53:36,23:59:29.55,0:48:01.5,90.0,g,None,DES survey hex 4+16 tiling 3
369833,2014/10/21 04:55:36,23:55:28.24,-0:38:12.2,90.0,r,None,DES survey hex -12-14 tiling 4
369834,2014/10/21 04:57:35,0:01:41.02,-0:23:59.9,90.0,i,None,DES survey hex 4-4 tiling 1
369835,2014/10/21 04:59:44,0:14:23.25,3:39:28.4,90.0,g,None,DES survey hex 36+37 tiling 1
369836,2014/10/21 05:02:08,0:57:02.14,3:50:38.2,90.0,r,None,DES survey hex 148+47 tiling 3
369837,2014/10/21 05:04:25,0:24:07.07,4:07:52.9,90.0,g,None,DES survey hex 68+37 tiling 2
369838,2014/10/21 05:06:45,1:03:27.98,4:51:30.6,90.0,g,None,DES survey hex 164+57 tiling 3
369839,2014/10/21 05:08:58,0:37:47.04,4:51:30.5,90.0,g,None,DES survey hex 100+57 tiling 3
369840,2014/10/21 05:10:57,0:37:47.02,4:51:30.2,90.0,r,None,DES survey hex 100+57 tiling 3
369841,2014/10/21 05:12:56,0:37:47.00,4:51:30.3,90.0,i,None,DES survey hex 100+57 tiling 3
369842,2014/10/21 05:14:54,0:31:23.65,3:50:37.7,90.0,r,None,DES survey hex 84+47 tiling 3
369843,2014/10/21 05:16:54,0:30:32.42,3:07:00.2,90.0,i,None,DES survey hex 84+26 tiling 2
369844,2014/10/21 05:18:53,0:30:32.42,3:07:00.5,90.0,g,None,DES survey hex 84+26 tiling 2
369845,2014/10/21 05:21:15,1:09:50.99,3:50:37.7,90.0,g,None,DES survey hex 180+47 tiling 3
369846,2014/10/21 05:23:27,1:24:51.03,4:40:20.0,90.0,g,None,DES survey hex 212+47 tiling 1
369847,2014/10/21 05:25:25,1:29:08.91,4:51:30.6,90.0,r,None,DES survey hex 228+57 tiling 3
369848,2014/10/21 05:27:45,0:50:37.50,4:51:30.4,90.0,g,None,DES survey hex 132+57 tiling 3
369849,2014/10/21 05:29:45,0:50:37.51,4:51:30.3,90.0,r,None,DES survey hex 132+57 tiling 3
369850,2014/10/21 05:31:46,0:59:12.77,4:40:20.4,90.0,i,None,DES survey hex 148+47 tiling 1
369851,2014/10/21 05:33:46,0:52:48.02,3:39:28.3,90.0,i,None,DES survey hex 132+37 tiling 1
369852,2014/10/21 05:35:46,0:50:37.53,2:49:45.7,90.0,r,None,DES survey hex 132+37 tiling 3
369853,2014/10/21 05:37:45,0:56:07.41,3:07:00.7,90.0,g,None,DES survey hex 148+26 tiling 2
369854,2014/10/21 05:39:44,1:03:27.96,4:51:30.4,90.0,r,None,DES survey hex 164+57 tiling 3
369855,2014/10/21 05:42:06,1:41:59.38,4:51:30.1,90.0,g,None,DES survey hex 260+57 tiling 3
369856,2014/10/21 05:44:44,2:51:06.71,3:07:00.3,90.0,i,None,DES survey hex 435+26 tiling 2
369857,2014/10/21 05:47:27,1:34:29.88,3:07:00.8,90.0,g,None,DES survey hex 244+26 tiling 2
