expnum,date,ra,dec,exptime,band,tag,object
145357,2012/11/2 01:41:10,0:31:30.78,-43:00:31.9,200.0,z,SVA1_FINALCUT,
145358,2012/11/2 01:44:59,0:31:30.69,-43:00:25.3,200.0,z,SVA1_FINALCUT,
145376,2012/11/2 02:45:13,0:31:29.26,-43:00:30.6,200.0,z,SVA1_FINALCUT,
145388,2012/11/2 03:35:42,2:21:44.46,-6:13:16.5,200.0,z,SVA1_FINALCUT,
145580,2012/11/2 08:13:32,7:23:34.37,-70:09:18.1,120.0,z,SVA1_FINALCUT,field D
145597,2012/11/2 08:31:30,5:12:14.64,-66:47:25.1,120.0,z,SVA1_FINALCUT,Field A
145598,2012/11/2 08:34:00,5:12:14.65,-66:47:25.4,120.0,z,SVA1_FINALCUT,Field A
145873,2012/11/3 00:53:56,0:31:52.85,-43:01:04.2,150.0,g,SVA1_FINALCUT,E1
145875,2012/11/3 00:59:55,0:31:52.87,-43:01:03.3,150.0,r,SVA1_FINALCUT,E1
145876,2012/11/3 01:03:30,0:31:52.86,-43:01:02.8,150.0,r,SVA1_FINALCUT,E1
145877,2012/11/3 01:08:52,0:31:52.83,-43:01:02.1,150.0,i,SVA1_FINALCUT,E1
145878,2012/11/3 01:12:55,0:31:52.88,-43:01:01.1,150.0,i,SVA1_FINALCUT,E1
145879,2012/11/3 01:16:48,0:31:52.86,-43:01:00.2,150.0,i,SVA1_FINALCUT,E1
145880,2012/11/3 01:20:46,0:31:52.88,-43:00:59.5,150.0,z,SVA1_FINALCUT,E1
145888,2012/11/3 01:47:53,0:31:52.89,-43:00:57.8,150.0,i,SVA1_FINALCUT,
146658,2012/11/4 08:33:47,7:23:27.93,-70:09:58.1,120.0,z,SVA1_FINALCUT,Field D
146659,2012/11/4 08:36:16,7:23:28.07,-70:09:55.3,120.0,z,SVA1_FINALCUT,Field D
146660,2012/11/4 08:38:45,7:23:28.21,-70:09:53.9,120.0,z,SVA1_FINALCUT,Field D
148105,2012/11/7 00:52:55,23:15:09.07,20:00:00.7,120.0,r,SVA1_FINALCUT,
148106,2012/11/7 00:55:26,23:15:09.06,20:00:00.7,120.0,r,SVA1_FINALCUT,
148108,2012/11/7 01:00:29,23:15:09.08,20:00:00.5,120.0,r,SVA1_FINALCUT,
148178,2012/11/7 04:30:13,2:25:26.50,-4:41:29.8,200.0,g,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 23
148179,2012/11/7 04:34:03,2:25:26.52,-4:41:24.4,200.0,g,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 24
148180,2012/11/7 04:37:54,2:25:26.38,-4:41:28.3,200.0,g,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 25
148183,2012/11/7 04:44:53,2:25:26.73,-4:41:29.4,400.0,r,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 23
148184,2012/11/7 04:52:03,2:25:26.71,-4:41:24.2,400.0,r,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 24
148185,2012/11/7 04:59:13,2:25:26.59,-4:41:27.9,400.0,r,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 25
148334,2012/11/7 08:17:36,7:23:39.27,-70:09:57.1,200.0,g,SVA1_FINALCUT,Field D
148335,2012/11/7 08:21:26,7:23:39.29,-70:09:58.6,200.0,g,SVA1_FINALCUT,Field D
148336,2012/11/7 08:21:53,7:23:40.41,-70:09:58.5,200.0,g,SVA1_FINALCUT,Field D
148337,2012/11/7 08:25:14,7:23:40.46,-70:09:57.6,200.0,r,SVA1_FINALCUT,Field D
148338,2012/11/7 08:28:34,7:23:40.44,-70:09:59.6,300.0,r,SVA1_FINALCUT,Field D
148339,2012/11/7 08:33:35,7:23:40.61,-70:09:59.5,300.0,r,SVA1_FINALCUT,Field D
148340,2012/11/7 08:38:38,7:23:40.59,-70:09:57.9,300.0,i,SVA1_FINALCUT,Field D
148342,2012/11/7 08:49:47,7:23:40.59,-70:09:57.1,120.0,z,SVA1_FINALCUT,Field D
148563,2012/11/8 01:42:16,2:51:22.26,0:01:45.6,175.0,g,SVA1_FINALCUT,DES supernova hex SN-S1 tiling 20
148564,2012/11/8 01:45:41,2:51:22.29,0:01:45.3,150.0,r,SVA1_FINALCUT,DES supernova hex SN-S1 tiling 20
148565,2012/11/8 01:48:41,2:51:22.28,0:01:44.7,200.0,i,SVA1_FINALCUT,DES supernova hex SN-S1 tiling 20
148567,2012/11/8 01:56:55,2:51:22.22,0:01:49.9,200.0,z,SVA1_FINALCUT,DES supernova hex SN-S1 tiling 22
148571,2012/11/8 02:11:03,2:44:51.38,-0:57:09.6,175.0,g,SVA1_FINALCUT,DES supernova hex SN-S2 tiling 20
148572,2012/11/8 02:14:28,2:44:51.39,-0:57:11.4,150.0,r,SVA1_FINALCUT,DES supernova hex SN-S2 tiling 20
148573,2012/11/8 02:17:26,2:44:51.36,-0:57:11.5,200.0,i,SVA1_FINALCUT,DES supernova hex SN-S2 tiling 20
148574,2012/11/8 02:21:15,2:44:51.36,-0:57:12.5,200.0,z,SVA1_FINALCUT,DES supernova hex SN-S2 tiling 21
148575,2012/11/8 02:25:05,2:44:51.32,-0:57:07.6,200.0,z,SVA1_FINALCUT,DES supernova hex SN-S2 tiling 22
148597,2012/11/8 03:00:28,0:31:31.46,-42:58:45.7,175.0,g,SVA1_FINALCUT,DES supernova hex SN-E1 tiling 20
148598,2012/11/8 03:03:53,0:31:31.48,-42:58:45.4,150.0,r,SVA1_FINALCUT,DES supernova hex SN-E1 tiling 20
148599,2012/11/8 03:06:53,0:31:31.48,-42:58:45.9,200.0,i,SVA1_FINALCUT,DES supernova hex SN-E1 tiling 20
148600,2012/11/8 03:10:42,0:31:31.49,-42:58:45.4,200.0,z,SVA1_FINALCUT,DES supernova hex SN-E1 tiling 21
148601,2012/11/8 03:14:33,0:31:31.30,-42:58:40.5,200.0,z,SVA1_FINALCUT,DES supernova hex SN-E1 tiling 22
148604,2012/11/8 03:25:57,2:25:49.54,-4:33:27.9,330.0,z,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 75
148605,2012/11/8 03:31:57,2:25:49.53,-4:33:23.2,330.0,z,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 76
148606,2012/11/8 03:37:57,2:25:49.37,-4:33:27.7,330.0,z,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 77
148607,2012/11/8 03:43:57,2:25:49.81,-4:33:28.8,330.0,z,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 78
148608,2012/11/8 03:49:56,2:25:49.77,-4:33:24.2,330.0,z,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 79
148609,2012/11/8 03:55:57,2:25:49.61,-4:33:30.3,330.0,z,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 80
148612,2012/11/8 04:09:50,3:37:07.01,-27:04:41.2,175.0,g,SVA1_FINALCUT,DES supernova hex SN-C1 tiling 20
148613,2012/11/8 04:13:15,3:37:07.00,-27:04:41.9,150.0,r,SVA1_FINALCUT,DES supernova hex SN-C1 tiling 20
148614,2012/11/8 04:16:15,3:37:07.00,-27:04:41.8,200.0,i,SVA1_FINALCUT,DES supernova hex SN-C1 tiling 20
148615,2012/11/8 04:20:06,3:37:06.98,-27:04:41.9,200.0,z,SVA1_FINALCUT,DES supernova hex SN-C1 tiling 21
148616,2012/11/8 04:23:57,3:37:06.90,-27:04:36.5,200.0,z,SVA1_FINALCUT,DES supernova hex SN-C1 tiling 22
148619,2012/11/8 04:32:55,3:37:06.81,-29:03:18.2,175.0,g,SVA1_FINALCUT,DES supernova hex SN-C2 tiling 20
148620,2012/11/8 04:36:19,3:37:06.79,-29:03:18.2,150.0,r,SVA1_FINALCUT,DES supernova hex SN-C2 tiling 20
148621,2012/11/8 04:39:22,3:37:06.79,-29:03:18.4,200.0,i,SVA1_FINALCUT,DES supernova hex SN-C2 tiling 20
148622,2012/11/8 04:43:11,3:37:06.91,-29:03:18.7,200.0,z,SVA1_FINALCUT,DES supernova hex SN-C2 tiling 21
148623,2012/11/8 04:47:02,3:37:06.83,-29:03:13.8,200.0,z,SVA1_FINALCUT,DES supernova hex SN-C2 tiling 22
148764,2012/11/8 08:06:23,7:23:39.67,-70:09:50.7,200.0,g,SVA1_FINALCUT,Field D
148765,2012/11/8 08:10:13,7:23:39.70,-70:09:50.3,200.0,g,SVA1_FINALCUT,Field D
148766,2012/11/8 08:14:03,7:23:39.67,-70:09:50.2,300.0,r,SVA1_FINALCUT,Field D
148767,2012/11/8 08:19:33,7:23:39.73,-70:09:49.7,300.0,r,SVA1_FINALCUT,Field D
148768,2012/11/8 08:25:02,7:23:39.71,-70:09:48.9,200.0,g,SVA1_FINALCUT,Field D
148769,2012/11/8 08:28:52,7:23:39.78,-70:09:50.8,300.0,r,SVA1_FINALCUT,Field D
148994,2012/11/9 01:00:44,2:00:00.17,-0:00:00.2,120.0,r,SVA1_FINALCUT,
148995,2012/11/9 01:06:16,2:00:00.17,-0:00:00.3,120.0,r,SVA1_FINALCUT,
148996,2012/11/9 01:13:49,23:45:00.24,-0:00:00.6,120.0,r,SVA1_FINALCUT,
148997,2012/11/9 01:17:51,23:45:00.27,0:00:00.1,120.0,r,SVA1_FINALCUT,
148998,2012/11/9 01:26:17,23:57:00.30,-30:00:00.0,120.0,r,SVA1_FINALCUT,
149000,2012/11/9 01:33:40,23:57:00.30,-30:00:00.3,120.0,r,SVA1_FINALCUT,
149004,2012/11/9 01:51:21,2:25:52.12,-4:33:57.8,360.0,i,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 30
149005,2012/11/9 01:57:49,2:25:52.04,-4:33:52.2,360.0,i,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 31
149006,2012/11/9 02:04:17,2:25:51.88,-4:33:56.5,360.0,i,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 32
149007,2012/11/9 02:10:46,2:25:52.36,-4:33:57.9,360.0,i,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 33
149008,2012/11/9 02:17:15,2:25:52.30,-4:33:52.4,360.0,i,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 34
149015,2012/11/9 02:44:22,2:25:51.47,-4:33:49.5,200.0,g,SVA1_FINALCUT,
149025,2012/11/9 03:12:52,0:38:02.25,-43:58:08.4,175.0,g,SVA1_FINALCUT,DES supernova hex SN-E2 tiling 20
149026,2012/11/9 03:16:19,0:38:02.24,-43:58:08.7,150.0,r,SVA1_FINALCUT,DES supernova hex SN-E2 tiling 20
149027,2012/11/9 03:19:21,0:38:02.26,-43:58:08.7,200.0,i,SVA1_FINALCUT,DES supernova hex SN-E2 tiling 20
149028,2012/11/9 03:23:12,0:38:02.26,-43:58:08.6,200.0,z,SVA1_FINALCUT,DES supernova hex SN-E2 tiling 21
149029,2012/11/9 03:27:01,0:38:02.11,-43:58:03.7,200.0,z,SVA1_FINALCUT,DES supernova hex SN-E2 tiling 22
149248,2012/11/10 02:29:06,3:32:31.14,-27:51:05.0,175.0,g,SVA1_FINALCUT,DES supernova hex SN-X1 tiling 20
149251,2012/11/10 02:39:37,2:17:49.17,-4:33:37.0,175.0,g,SVA1_FINALCUT,DES supernova hex SN-X1 tiling 20
149252,2012/11/10 02:43:02,2:17:49.20,-4:33:37.1,150.0,r,SVA1_FINALCUT,DES supernova hex SN-X1 tiling 20
149253,2012/11/10 02:46:02,2:17:49.13,-4:33:36.3,200.0,i,SVA1_FINALCUT,DES supernova hex SN-X1 tiling 20
149254,2012/11/10 02:49:51,2:17:49.09,-4:33:36.5,200.0,z,SVA1_FINALCUT,DES supernova hex SN-X1 tiling 21
149255,2012/11/10 02:53:41,2:17:49.02,-4:33:31.3,200.0,z,SVA1_FINALCUT,DES supernova hex SN-X1 tiling 22
149258,2012/11/10 03:04:29,2:21:49.47,-6:12:24.6,175.0,g,SVA1_FINALCUT,DES supernova hex SN-X2 tiling 20
149259,2012/11/10 03:07:53,2:21:49.50,-6:12:24.5,150.0,r,SVA1_FINALCUT,DES supernova hex SN-X2 tiling 20
149260,2012/11/10 03:10:52,2:21:49.48,-6:12:24.5,200.0,i,SVA1_FINALCUT,DES supernova hex SN-X2 tiling 20
149261,2012/11/10 03:14:42,2:21:49.48,-6:12:24.5,200.0,z,SVA1_FINALCUT,DES supernova hex SN-X2 tiling 21
149262,2012/11/10 03:18:33,2:21:49.44,-6:12:19.5,200.0,z,SVA1_FINALCUT,DES supernova hex SN-X2 tiling 22
149263,2012/11/10 03:27:03,2:29:49.20,-7:47:56.7,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_37-7 tiling 258
149264,2012/11/10 03:29:03,2:29:49.20,-7:47:56.8,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_37-7 tiling 258
149265,2012/11/10 03:31:03,2:32:19.91,-7:31:01.1,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_37-7 tiling 256
149266,2012/11/10 03:33:02,2:32:19.95,-7:31:01.4,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_37-7 tiling 256
149267,2012/11/10 03:35:02,2:29:37.58,-7:07:35.8,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_37-7 tiling 250
149268,2012/11/10 03:37:02,2:29:37.59,-7:07:35.8,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_37-7 tiling 250
149269,2012/11/10 03:39:12,2:25:02.27,-7:06:36.1,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_37-7 tiling 257
149270,2012/11/10 03:41:12,2:25:02.17,-7:06:36.7,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_37-7 tiling 257
149271,2012/11/10 03:43:12,2:22:31.54,-7:02:58.3,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_36-6 tiling 258
149272,2012/11/10 03:45:11,2:22:31.56,-7:02:58.1,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_36-6 tiling 258
149273,2012/11/10 03:47:19,2:33:53.70,-7:02:37.5,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_37-7 tiling 252
149274,2012/11/10 03:49:19,2:33:53.67,-7:02:37.5,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_37-7 tiling 252
149276,2012/11/10 03:53:22,2:25:02.11,-6:46:02.9,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_36-6 tiling 256
149277,2012/11/10 03:55:22,2:25:49.50,-6:45:09.4,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_37-7 tiling 259
149278,2012/11/10 03:57:22,2:25:49.49,-6:45:09.3,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_37-7 tiling 259
149279,2012/11/10 03:59:24,2:32:31.82,-6:41:09.9,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_37-7 tiling 255
149280,2012/11/10 04:01:24,2:32:31.77,-6:41:10.6,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_37-7 tiling 255
149281,2012/11/10 04:03:23,2:35:34.20,-6:31:24.1,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_39-6 tiling 258
149283,2012/11/10 04:07:22,2:30:09.39,-6:26:14.9,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_37-7 tiling 254
149284,2012/11/10 04:09:26,2:30:09.31,-6:26:15.4,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_37-7 tiling 254
149285,2012/11/10 04:11:26,2:27:31.15,-6:24:15.7,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_37-7 tiling 251
149286,2012/11/10 04:13:25,2:27:31.22,-6:24:15.2,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_37-7 tiling 251
149287,2012/11/10 04:15:27,2:22:20.31,-6:22:37.2,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_36-6 tiling 250
149288,2012/11/10 04:17:27,2:22:20.31,-6:22:37.4,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_36-6 tiling 250
149438,2012/11/10 08:15:06,7:23:36.50,-70:09:59.6,120.0,z,SVA1_FINALCUT,Field D
149439,2012/11/10 08:17:35,7:23:36.68,-70:09:57.1,120.0,z,SVA1_FINALCUT,Field D
149440,2012/11/10 08:20:04,7:23:36.77,-70:09:55.7,120.0,z,SVA1_FINALCUT,Field D
149692,2012/11/11 01:00:54,22:46:05.57,-57:16:29.2,90.0,g,SVA1_FINALCUT,DES west_commish hex west_commish_-16-57 tiling 247
149693,2012/11/11 01:02:52,22:46:05.55,-57:16:29.6,90.0,r,SVA1_FINALCUT,DES west_commish hex west_commish_-16-57 tiling 247
149731,2012/11/11 02:59:27,2:25:50.61,-4:34:35.5,200.0,g,SVA1_FINALCUT,
149739,2012/11/11 03:29:54,3:30:36.89,-28:05:08.9,200.0,g,SVA1_FINALCUT,DES supernova hex SN-C3 tiling 23
149740,2012/11/11 03:33:44,3:30:36.79,-28:05:03.2,200.0,g,SVA1_FINALCUT,DES supernova hex SN-C3 tiling 24
149741,2012/11/11 03:37:33,3:30:36.57,-28:05:06.8,200.0,g,SVA1_FINALCUT,DES supernova hex SN-C3 tiling 25
149742,2012/11/11 03:45:43,2:17:46.15,-6:21:27.9,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_36-6 tiling 257
149743,2012/11/11 03:47:44,2:17:46.12,-6:21:28.1,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_36-6 tiling 257
149744,2012/11/11 03:50:10,2:31:10.99,-6:20:07.5,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_37-7 tiling 253
149745,2012/11/11 03:52:09,2:31:11.00,-6:20:07.2,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_37-7 tiling 253
149746,2012/11/11 03:54:09,2:26:36.72,-6:17:29.3,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_36-6 tiling 252
149747,2012/11/11 03:56:08,2:26:36.73,-6:17:29.4,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_36-6 tiling 252
149748,2012/11/11 03:58:15,2:38:05.64,-6:14:19.5,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_39-6 tiling 256
149749,2012/11/11 04:00:15,2:38:05.60,-6:14:19.5,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_39-6 tiling 256
149750,2012/11/11 04:02:37,2:18:33.28,-6:00:01.5,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_36-6 tiling 259
149751,2012/11/11 04:04:37,2:18:33.29,-6:00:01.7,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_36-6 tiling 259
149752,2012/11/11 04:06:42,2:25:15.01,-5:56:02.6,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_36-6 tiling 255
149753,2012/11/11 04:08:43,2:25:15.02,-5:56:02.7,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_36-6 tiling 255
149754,2012/11/11 04:10:48,2:35:23.81,-5:50:53.8,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_39-6 tiling 250
149755,2012/11/11 04:12:47,2:35:23.86,-5:50:54.2,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_39-6 tiling 250
149756,2012/11/11 04:14:45,2:30:49.18,-5:49:54.0,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_39-6 tiling 257
149757,2012/11/11 04:16:46,2:30:49.16,-5:49:54.3,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_39-6 tiling 257
149758,2012/11/11 04:18:44,2:28:20.09,-5:46:58.3,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_37-5 tiling 258
150155,2012/11/12 01:16:35,0:38:04.07,-43:58:44.6,175.0,g,SVA1_FINALCUT,DES supernova hex SN-E2 tiling 20
150156,2012/11/12 01:19:57,0:38:04.08,-43:58:44.8,150.0,r,SVA1_FINALCUT,DES supernova hex SN-E2 tiling 20
150157,2012/11/12 01:22:57,0:38:04.05,-43:58:44.4,200.0,i,SVA1_FINALCUT,DES supernova hex SN-E2 tiling 20
150158,2012/11/12 01:26:46,0:38:04.06,-43:58:44.5,200.0,z,SVA1_FINALCUT,DES supernova hex SN-E2 tiling 21
150159,2012/11/12 01:30:39,0:38:03.92,-43:58:39.6,200.0,z,SVA1_FINALCUT,DES supernova hex SN-E2 tiling 22
150163,2012/11/12 01:45:56,3:30:59.02,-28:05:49.8,200.0,g,SVA1_FINALCUT,DES supernova hex SN-C3 tiling 23
150177,2012/11/12 02:38:59,3:31:00.18,-28:05:21.4,200.0,g,SVA1_FINALCUT,
150185,2012/11/12 03:01:16,2:44:53.31,-0:57:27.6,175.0,g,SVA1_FINALCUT,DES supernova hex SN-S2 tiling 20
150186,2012/11/12 03:04:41,2:44:53.34,-0:57:27.6,150.0,r,SVA1_FINALCUT,DES supernova hex SN-S2 tiling 20
150187,2012/11/12 03:07:40,2:44:53.33,-0:57:27.7,200.0,i,SVA1_FINALCUT,DES supernova hex SN-S2 tiling 20
150188,2012/11/12 03:11:30,2:44:53.31,-0:57:27.5,200.0,z,SVA1_FINALCUT,DES supernova hex SN-S2 tiling 21
150196,2012/11/12 03:35:58,2:28:21.48,-5:47:08.9,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_37-5 tiling 258
150197,2012/11/12 03:38:05,2:39:40.70,-5:46:05.9,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_39-6 tiling 252
150198,2012/11/12 03:40:05,2:39:40.69,-5:46:06.0,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_39-6 tiling 252
150199,2012/11/12 03:42:40,2:22:54.29,-5:41:17.8,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_36-6 tiling 254
150200,2012/11/12 03:44:39,2:22:54.31,-5:41:17.8,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_36-6 tiling 254
150201,2012/11/12 03:46:37,2:20:16.44,-5:39:18.4,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_36-6 tiling 251
150202,2012/11/12 03:48:36,2:20:16.47,-5:39:18.5,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_36-6 tiling 251
150203,2012/11/12 03:50:40,2:23:55.05,-5:35:19.4,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_36-6 tiling 253
150204,2012/11/12 03:52:40,2:28:21.81,-5:47:09.3,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_37-5 tiling 258
150205,2012/11/12 03:54:39,2:23:55.18,-5:35:19.2,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_36-6 tiling 253
150206,2012/11/12 03:56:43,2:30:51.95,-5:30:13.7,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_37-5 tiling 256
150207,2012/11/12 03:58:42,2:30:51.95,-5:30:13.6,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_37-5 tiling 256
150208,2012/11/12 04:00:41,2:31:37.96,-5:28:37.9,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_39-6 tiling 259
150209,2012/11/12 04:02:41,2:31:37.94,-5:28:38.0,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_39-6 tiling 259
150210,2012/11/12 04:04:45,2:38:19.33,-5:24:39.4,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_39-6 tiling 255
150211,2012/11/12 04:06:45,2:38:19.35,-5:24:39.4,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_39-6 tiling 255
150212,2012/11/12 04:08:44,2:35:57.08,-5:09:43.6,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_39-6 tiling 254
150543,2012/11/13 00:54:58,2:25:59.69,-4:35:22.4,360.0,i,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 30
150544,2012/11/13 01:01:27,2:25:59.61,-4:35:18.3,360.0,i,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 31
150545,2012/11/13 01:07:55,2:25:59.47,-4:35:21.5,360.0,i,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 32
150546,2012/11/13 01:14:23,2:25:59.96,-4:35:24.0,360.0,i,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 33
150547,2012/11/13 01:20:51,2:25:59.89,-4:35:19.2,360.0,i,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 34
150565,2012/11/13 02:29:35,3:30:43.24,-28:05:29.4,200.0,g,SVA1_FINALCUT,
150572,2012/11/13 02:48:22,3:30:43.77,-28:05:25.1,200.0,g,SVA1_FINALCUT,DES supernova hex SN-C3 tiling 23
150573,2012/11/13 02:52:10,3:30:43.67,-28:05:19.8,200.0,g,SVA1_FINALCUT,DES supernova hex SN-C3 tiling 24
150574,2012/11/13 02:55:58,3:30:43.46,-28:05:24.0,200.0,g,SVA1_FINALCUT,DES supernova hex SN-C3 tiling 25
150576,2012/11/13 03:02:58,3:30:43.87,-28:05:24.5,400.0,r,SVA1_FINALCUT,DES supernova hex SN-C3 tiling 23
150577,2012/11/13 03:10:06,3:30:43.78,-28:05:20.2,400.0,r,SVA1_FINALCUT,DES supernova hex SN-C3 tiling 24
150578,2012/11/13 03:17:14,3:30:43.64,-28:05:24.9,400.0,r,SVA1_FINALCUT,DES supernova hex SN-C3 tiling 25
150927,2012/11/14 01:07:33,2:25:51.57,-4:34:21.8,360.0,i,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 30
150928,2012/11/14 01:14:01,2:25:51.51,-4:34:17.3,360.0,i,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 31
150929,2012/11/14 01:20:31,2:25:51.42,-4:34:22.3,360.0,i,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 32
150930,2012/11/14 01:27:00,2:25:51.85,-4:34:25.6,360.0,i,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 33
150931,2012/11/14 01:33:30,2:25:51.78,-4:34:20.6,360.0,i,SVA1_FINALCUT,DES supernova hex SN-X3 tiling 34
150932,2012/11/14 01:41:43,2:35:53.14,-5:09:42.8,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_39-6 tiling 254
150933,2012/11/14 01:43:45,2:33:15.30,-5:07:43.6,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_39-6 tiling 251
150934,2012/11/14 01:45:45,2:33:15.34,-5:07:43.1,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_39-6 tiling 251
150935,2012/11/14 01:47:47,2:28:06.43,-5:06:46.6,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_37-5 tiling 250
150936,2012/11/14 01:49:49,2:28:06.41,-5:06:46.6,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_37-5 tiling 250
150937,2012/11/14 01:51:55,2:23:32.11,-5:05:46.9,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_37-5 tiling 257
150938,2012/11/14 01:53:53,2:23:32.07,-5:05:46.9,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_37-5 tiling 257
150939,2012/11/14 01:56:01,2:36:53.77,-5:03:43.9,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_39-6 tiling 253
150940,2012/11/14 01:58:01,2:36:53.79,-5:03:43.6,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_39-6 tiling 253
150941,2012/11/14 02:00:04,2:32:21.56,-5:01:47.7,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_37-5 tiling 252
150942,2012/11/14 02:02:04,2:32:21.52,-5:01:47.9,90.0,r,SVA1_FINALCUT,DES mini1a hex mini1a_37-5 tiling 252
150943,2012/11/14 02:04:14,2:21:07.67,-5:01:20.5,90.0,g,SVA1_FINALCUT,DES mini1a hex mini1a_35-4 tiling 258
